family,params,seed,n,m,solver_type,preprocessing_enabled,propagation_enabled,lower_bound_type,optimal_cover_size,runtime_seconds,nodes_explored,nodes_pruned,max_depth,forced_assignments,preprocessing_reductions,vertices_removed_by_preprocessing,root_lower_bound,finished,threshold_trajectory
erdos_renyi,"n=10, p=0.3",123,10,14,ablation_prep,True,True,trivial,5,0.000644,13,0,0,0,0,0,0,True,"[(1, 2.0, 1), (2, 8.0, 3), (2, 12.0, 3), (2, 14.0, 3), (2, 15.0, 3)]"
erdos_renyi,"n=10, p=0.3",123,10,14,ablation_prep_lb,True,True,maximal_matching,5,0.000682,14,0,0,0,0,0,0,True,"[(1, 2.0, 1), (1, 3.0, 1), (2, 8.0, 3), (2, 12.0, 3), (2, 14.0, 3), (2, 15.0, 3)]"
erdos_renyi,"n=10, p=0.3",123,10,14,enhanced_emulation,True,True,maximal_matching,5,0.000746,14,0,0,0,0,0,0,True,"[(1, 2.0, 1), (1, 3.0, 1), (2, 8.0, 3), (2, 12.0, 3), (2, 14.0, 3), (2, 15.0, 3)]"
erdos_renyi,"n=10, p=0.3",256,10,13,baseline,False,False,trivial,5,0.000983,279,135,10,0,0,0,0,True,[]
erdos_renyi,"n=10, p=0.3",256,10,13,improved,True,True,maximal_matching,5,2.6e-05,1,0,0,0,10,5,5,True,[]
erdos_renyi,"n=10, p=0.3",256,10,13,raw_emulation,False,False,trivial,5,0.014724,390,0,0,0,0,0,0,True,"[(16, 1.0, 16), (32, 2.0, 32), (64, 4.0, 95), (128, 4.0, 95), (128, 5.0, 152)]"
erdos_renyi,"n=10, p=0.3",256,10,13,ablation_prep,True,True,trivial,5,0.000287,4,0,0,0,0,0,0,True,"[(1, 8.0, 1), (1, 12.0, 1), (1, 14.0, 1), (1, 15.0, 1)]"
erdos_renyi,"n=10, p=0.3",256,10,13,ablation_prep_lb,True,True,maximal_matching,5,0.000261,4,0,0,0,0,0,0,True,"[(1, 8.0, 1), (1, 12.0, 1), (1, 14.0, 1), (1, 15.0, 1)]"
erdos_renyi,"n=10, p=0.3",256,10,13,enhanced_emulation,True,True,maximal_matching,5,0.000277,4,0,0,0,0,0,0,True,"[(1, 8.0, 1), (1, 12.0, 1), (1, 14.0, 1), (1, 15.0, 1)]"
erdos_renyi,"n=10, p=0.3",789,10,9,baseline,False,False,trivial,4,0.001035,301,145,10,0,0,0,0,True,[]
